"accession","reference_length","covered_bases","reads_aligned","mean_coverage","RPKMF","sequence_name","taxid","kingdom","phylum","class","order","family","genus","species","subspecies","strain","sample_ID","total_filtered_reads_in_sample"
"NC_039477.1",7567,150,1,0.019414857,0.0263684,"Norovirus GII, complete genome",122929,"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Caliciviridae","Norovirus","Norwalk virus","Norovirus GII","Norovirus GII","NGS_2T",5011786
"KT280503.1",7332,7261,46298,977.6214,1259.93,"Enterovirus D68 isolate 2011-21186, complete genome",42789,"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus","Enterovirus D","enterovirus D68","enterovirus D68","NGS_2T",5011786
"AM749299.1",33763,135,1,0.004016303,0.00590971,"Human adenovirus type 31 complete genome, serotype 31",10529,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human mastadenovirus A","Human adenovirus 31","Human adenovirus 31","NGS_2T",5011786
"AC_000007.1",35937,2989,2240,9.195574,12.4369,"Human adenovirus 2, complete genome",10515,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human mastadenovirus C","Human adenovirus 2","Human adenovirus 2","NGS_2T",5011786
"AB448776.1",35215,300,2,0.00855554,0.0113321,"Human adenovirus 37 genomic DNA, complete genome, isolate: 1991",52275,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human mastadenovirus D","Human adenovirus D37","Human adenovirus D37","NGS_2T",5011786
"NC_006998.1",194711,2377,14,0.012237807,0.0143465,"Vaccinia virus, complete genome",10245,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Vaccinia virus","unclassified Vaccinia virus subspecies/strain","unclassified Vaccinia virus strain","NGS_2T",5011786
"NC_003663.2",224499,940,5,0.005647451,0.00444389,"Cowpox virus, complete genome",10243,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Cowpox virus","unclassified Cowpox virus subspecies/strain","unclassified Cowpox virus strain","NGS_2T",5011786
"NC_003310.1",196858,19977,137,0.10841959,0.138859,"Monkeypox virus Zaire-96-I-16, complete genome",10244,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Monkeypox virus","unclassified Monkeypox virus subspecies/strain","unclassified Monkeypox virus strain","NGS_2T",5011786
"NC_012564.1",5242,150,1,0.029457973,0.0380637,"Human bocavirus 3, complete genome",638313,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Bocaparvovirus","Primate bocaparvovirus 1","Human bocavirus 3","Human bocavirus 3","NGS_2T",5011786
"NC_012042.1",5196,301,32,0.9512485,1.22882,"Human bocavirus 2c PK isolate PK-5510, complete genome",1511882,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Bocaparvovirus","Primate bocaparvovirus 2","Human bocavirus 2c PK","Human bocavirus 2c PK","NGS_2T",5011786
"NC_007378.1",11119,815,10,0.38818488,0.179449,"influenza A H2N2 all segments",488241,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/Korea/426/1968(H2N2))","Influenza A virus (A/Korea/426/1968(H2N2))","NGS_2T",5011786
"NC_007373.1",11286,8989,29564,407.4657,522.674,"influenza A H3N2 all segments",335341,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/New York/392/2004(H3N2))","Influenza A virus (A/New York/392/2004(H3N2))","NGS_2T",5011786
"KY316160.1",34169,1341,9,0.04030101,0.0525554,"Human adenovirus 41 isolate SH/2015/D16, complete genome",10524,"Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Human mastadenovirus F","Human adenovirus 41","Human adenovirus 41","NGS_2T",5011786
"AB111964.2",8978,240,16,0.27095604,0.355589,"Bovine viral diarrhea virus 839cp gene for poryprotein, partai cds, strain: 839cp",233886,"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Pestivirus","Pestivirus A","Bovine viral diarrhea virus 839cp","Bovine viral diarrhea virus 839cp","NGS_2T",5011786
"AB111966.1",9060,268,29,0.48675644,0.638671,"Bovine viral diarrhea virus 190cp gene for poryprotein, partai cds, strain: 190cp",233888,"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Pestivirus","Pestivirus A","Bovine viral diarrhea virus 190cp","Bovine viral diarrhea virus 190cp","NGS_2T",5011786
"AB573670.2",2341,2224,6012,405.79962,512.419,"Influenza A virus (A/swine/Obihiro/10/1985(H3N2)) PB2 gene for polymerase basic protein 2, complete cds",668549,"Viruses","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza A virus","Influenza A virus (A/swine/Obihiro/10/1985(H3N2))","Influenza A virus (A/swine/Obihiro/10/1985(H3N2))","NGS_2T",5011786
"AC090446.27",170275,254,1,0.0054136664,0.00117181,"Baboon cytomegalovirus OCOM4-37 clone bacmv, WORKING DRAFT SEQUENCE, 22 unordered pieces",153301,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Cytomegalovirus","Papiine betaherpesvirus 3","Baboon cytomegalovirus OCOM4-37","Baboon cytomegalovirus OCOM4-37","NGS_2T",5011786
"AF033808.1",9392,139,1,0.015040034,0.0212446,"Rous sarcoma virus, complete genome",11886,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Alpharetrovirus","Rous sarcoma virus","unclassified Rous sarcoma virus subspecies/strain","unclassified Rous sarcoma virus strain","NGS_2T",5011786
"AF033812.1",5894,268,5,0.114554316,0.169265,"Abelson murine leukemia virus, complete genome",11788,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Gammaretrovirus","Abelson murine leukemia virus","unclassified Abelson murine leukemia virus subspecies/strain","unclassified Abelson murine leukemia virus strain","NGS_2T",5011786
"AF033815.1",8557,156,12,0.21030094,0.279813,"Mason-Pfizer monkey virus, complete genome",11855,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Betaretrovirus","Mason-Pfizer monkey virus","unclassified Mason-Pfizer monkey virus subspecies/strain","unclassified Mason-Pfizer monkey virus strain","NGS_2T",5011786
"AF033818.1",8419,747,41,0.7427742,0.971697,"Bovine leukemia virus complete genome",11901,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Deltaretrovirus","Bovine leukemia virus","unclassified Bovine leukemia virus subspecies/strain","unclassified Bovine leukemia virus strain","NGS_2T",5011786
"AF043303.1",4679,975,68,2.2468536,2.89977,"Adeno-associated virus 2, complete genome",10804,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Dependoparvovirus","Adeno-associated dependoparvovirus A","adeno-associated virus 2","adeno-associated virus 2","NGS_2T",5011786
"AF126467.1",8105,533,251,4.448397,6.17914,"Simian retrovirus 2, complete genome",39068,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Betaretrovirus","Mason-Pfizer monkey virus","Simian retrovirus 2","Simian retrovirus 2","NGS_2T",5011786
"AF406966.1",5610,1524,658,16.188461,23.4029,"Bovine parvovirus 2 putative non-structural protein and putative capsid protein genes, complete cds",172296,"Viruses","Cossaviricota","Quintoviricetes","Piccovirales","Parvoviridae","Copiparvovirus","Ungulate copiparvovirus 1","Bovine parvovirus - 2","Bovine parvovirus - 2","NGS_2T",5011786
